"student_spending","hours_study_cat","fin_lit_cat","living_arr","funding_cat","social_outings_cat","distance_cat"
2009.88108836195,"Low","Low","On-campus","Self","Low","Near"
2092.45562762918,"Low","Low","On-campus","Self","Low","Near"
2539.67707853728,"Low","Low","On-campus","Self","Low","Near"
2167.62709785614,"Low","Low","On-campus","Self","Low","Near"
2182.32193379024,"Low","Low","On-campus","Self","Low","Near"
2578.76624672082,"Low","Low","On-campus","Self","Low","Near"
2265.2290514973,"Low","Low","On-campus","Self","Low","Near"
1833.73469134837,"Low","Low","On-campus","Self","Low","Near"
1978.28678702662,"Low","Low","On-campus","Self","Low","Near"
2038.58450747501,"Low","Low","On-campus","Self","Low","Near"
2456.02044935987,"Low","Low","On-campus","Self","Low","Near"
2239.95345676434,"Low","Low","On-campus","Self","Low","Near"
2250.19286264851,"Low","Low","On-campus","Self","Low","Near"
2177.67067898628,"Low","Low","On-campus","Self","Low","Near"
2011.03971631148,"Low","Low","On-campus","Self","Low","Near"
2596.72828420077,"Low","Low","On-campus","Self","Low","Near"
2274.46261955731,"Low","Low","On-campus","Self","Low","Near"
1658.34571084259,"Low","Low","On-campus","Self","Low","Near"
2325.33897539092,"Low","Low","On-campus","Self","Low","Near"
2031.80214806802,"Low","Low","On-campus","Self","Low","Near"
1883.04407350329,"High","Low","On-campus","Self","Low","Near"
2095.50627133543,"High","Low","On-campus","Self","Low","Near"
1893.49888792319,"High","Low","On-campus","Self","Low","Near"
1967.77719267721,"High","Low","On-campus","Self","Low","Near"
1993.74018303769,"High","Low","On-campus","Self","Low","Near"
1728.3266723144,"High","Low","On-campus","Self","Low","Near"
2359.44676112363,"High","Low","On-campus","Self","Low","Near"
2188.34327945913,"High","Low","On-campus","Self","Low","Near"
1865.46576574701,"High","Low","On-campus","Self","Low","Near"
2463.45373026748,"High","Low","On-campus","Self","Low","Near"
2256.6160553692,"High","Low","On-campus","Self","Low","Near"
2076.23212925193,"High","Low","On-campus","Self","Low","Near"
2373.78141526126,"High","Low","On-campus","Self","Low","Near"
2369.53337188326,"High","Low","On-campus","Self","Low","Near"
2355.39527040937,"High","Low","On-campus","Self","Low","Near"
2322.16006352502,"High","Low","On-campus","Self","Low","Near"
