"Funding","Accommodation","Distance","FinLit","StudyHrs","Outings","Spending"
0,1,"Close","Low","Low","Low",3058.97
0,1,"Close","Low","Low","Low",1200
0,1,"Close","Low","Low","Low",2429.74
0,1,"Close","Low","Low","Low",2060.16
0,1,"Close","Low","Low","Low",1200
0,1,"Close","Low","Low","Low",1200
0,1,"Close","Low","Low","Low",1200
0,1,"Close","Low","Low","Low",1200
0,1,"Close","Low","Low","Low",2387.36
0,1,"Close","Low","Low","Low",1418.24
0,1,"Close","Low","Low","Low",1526.45
0,1,"Close","Low","Low","Low",1200
0,1,"Close","Low","Low","Low",1834.63
0,1,"Close","Low","Low","Low",1827.4
0,1,"Close","Low","Low","Low",1200
1,1,"Close","Low","Low","Low",4922.55
1,1,"Close","Low","Low","Low",3717.07
1,1,"Close","Low","Low","Low",3058.98
1,1,"Close","Low","Low","Low",1372.21
1,1,"Close","Low","Low","Low",3838.08
1,1,"Close","Low","Low","Low",2157.69
1,1,"Close","Low","Low","Low",2428.28
1,1,"Close","Low","Low","Low",1200
1,1,"Close","Low","Low","Low",5118.61
1,1,"Close","Low","Low","Low",2779.54
1,1,"Close","Low","Low","Low",5848.34
1,1,"Close","Low","Low","Low",5556.06
1,1,"Close","Low","Low","Low",2795.94
1,1,"Close","Low","Low","Low",3764.79
1,1,"Close","Low","Low","Low",5547.29
0,2,"Close","Low","Low","Low",2177.2
0,2,"Close","Low","Low","Low",3324.55
0,2,"Close","Low","Low","Low",2629.71
0,2,"Close","Low","Low","Low",3599.09
0,2,"Close","Low","Low","Low",3351.01
0,2,"Close","Low","Low","Low",4971.58
0,2,"Close","Low","Low","Low",4029.26
0,2,"Close","Low","Low","Low",1578.56
0,2,"Close","Low","Low","Low",4002.47
0,2,"Close","Low","Low","Low",1688.91
0,2,"Close","Low","Low","Low",1200
0,2,"Close","Low","Low","Low",4333.7
0,2,"Close","Low","Low","Low",1200
0,2,"Close","Low","Low","Low",3556.08
0,2,"Close","Low","Low","Low",1674.46
1,2,"Close","Low","Low","Low",5889.93
1,2,"Close","Low","Low","Low",4724.45
1,2,"Close","Low","Low","Low",2885.88
1,2,"Close","Low","Low","Low",4868.95
1,2,"Close","Low","Low","Low",4253.7
1,2,"Close","Low","Low","Low",1619.67
1,2,"Close","Low","Low","Low",3209.77
1,2,"Close","Low","Low","Low",2014.49
1,2,"Close","Low","Low","Low",4291.51
1,2,"Close","Low","Low","Low",2486.07
1,2,"Close","Low","Low","Low",3168.15
1,2,"Close","Low","Low","Low",1509.99
1,2,"Close","Low","Low","Low",1964.42
1,2,"Close","Low","Low","Low",3771.03
